Date,SPI
12/24/2017,-1.47
12/17/2017,-1.32
12/10/2017,-1.19
12/3/2017,-0.32
11/26/2017,-0.81
11/19/2017,0.43
11/12/2017,0.53
11/5/2017,0.33
10/29/2017,1.03
10/22/2017,0.29
10/15/2017,0.04
10/8/2017,-0.1
10/1/2017,-2.5
9/24/2017,-2.13
9/17/2017,-0.12
9/10/2017,-0.12
9/3/2017,0.54
8/27/2017,1.01
8/20/2017,0.33
8/13/2017,0.62
8/6/2017,-0.13
7/30/2017,-1.28
7/23/2017,-0.78
7/16/2017,-1.88
7/9/2017,-1.12
7/2/2017,-0.16
6/25/2017,-0.48
6/18/2017,-0.14
6/11/2017,0.81
6/4/2017,0.16
5/28/2017,1.15
5/21/2017,1.79
5/14/2017,1.12
5/7/2017,1.35
4/30/2017,0.68
4/23/2017,-0.35
4/16/2017,0.02
4/9/2017,-0.42
4/2/2017,0.57
3/26/2017,0.29
3/19/2017,-0.48
3/12/2017,-0.48
3/5/2017,-1.87
2/26/2017,-1.97
2/19/2017,-2
2/12/2017,-0.58
2/5/2017,-0.42
1/29/2017,-0.47
1/22/2017,0.83
1/15/2017,0.43
7/2/2017,-0.16
6/25/2017,-0.48
6/18/2017,-0.14
6/11/2017,0.81
6/4/2017,0.16
5/28/2017,1.15
5/21/2017,1.79
5/14/2017,1.12
5/7/2017,1.35
4/30/2017,0.68
4/23/2017,-0.35
4/16/2017,0.02
4/9/2017,-0.42
4/2/2017,0.57
3/26/2017,0.29
3/19/2017,-0.48
3/12/2017,-0.48
3/5/2017,-1.87
2/26/2017,-1.97
2/19/2017,-2
2/12/2017,-0.58
2/5/2017,-0.42
1/29/2017,-0.47
1/22/2017,0.83
1/15/2017,0.43
1/8/2017,0.14
1/1/2017,0.18
12/23/2016,-0.06
12/16/2016,-0.12
12/9/2016,-0.1
12/2/2016,0.06
11/25/2016,-0.95
11/18/2016,-1.18
11/11/2016,-1.09
11/4/2016,-1.55
10/28/2016,0.77
10/21/2016,1.06
10/14/2016,2.47
10/7/2016,2.65
9/30/2016,1.86
9/23/2016,1.91
9/16/2016,0.37
9/9/2016,-0.67
9/2/2016,-0.73
8/26/2016,-2.1
8/19/2016,-1.79
8/12/2016,-1.03
8/5/2016,-0.08
7/29/2016,-0.3
7/22/2016,0.12
7/15/2016,0.42
7/8/2016,-0.17
7/1/2016,0.64
6/24/2016,1.65
6/17/2016,1.74
6/10/2016,2.23
6/3/2016,2.39
5/27/2016,1.51
5/20/2016,2.27
5/13/2016,2.16
5/6/2016,1.54
4/29/2016,1.13
4/22/2016,-0.45
4/15/2016,-1.44
4/8/2016,-1.42
4/1/2016,-1.19
3/25/2016,-1.93
3/18/2016,-2.08
3/11/2016,-0.13
3/4/2016,0.35
2/26/2016,0.52
2/19/2016,1.12
2/12/2016,0.99
2/5/2016,0.82
1/29/2016,0.97
1/22/2016,0.29
1/15/2016,0.33
1/8/2016,1.64
1/1/2016,1.37
12/24/2015,1.4
12/17/2015,0.95
12/10/2015,-0.48
12/3/2015,-0.27
11/26/2015,0.86
11/19/2015,0.6
11/12/2015,0.43
11/5/2015,0.4
10/29/2015,-0.55
10/22/2015,0.34
10/15/2015,0.56
10/8/2015,0.49
10/1/2015,0.91
9/24/2015,0.17
9/17/2015,-0.42
9/10/2015,-0.45
9/3/2015,-1.74
8/27/2015,-0.3
8/20/2015,-0.4
8/13/2015,-0.36
8/6/2015,-0.15
7/30/2015,-0.53
7/23/2015,0.44
7/16/2015,1.36
7/9/2015,1.55
7/2/2015,1.22
6/25/2015,0.78
6/18/2015,0.01
6/11/2015,0.12
6/4/2015,0.32
5/28/2015,-0.16
5/21/2015,-0.96
5/14/2015,-0.87
5/7/2015,0.45
4/30/2015,1.42
4/23/2015,1.48
4/16/2015,1.15
4/9/2015,0.31
4/2/2015,-0.49
3/26/2015,0.28
3/19/2015,0.55
3/12/2015,1.05
3/5/2015,0.97
2/26/2015,0.67
2/19/2015,0.51
2/12/2015,-0.03
2/5/2015,0.5
1/29/2015,0.64
1/22/2015,0.41
1/15/2015,0.86
