,Tree,Mold,Grass,Ragweed,total-pol,LATITUDE,LONGITUDE,ELEVATION,AWND,DAPR,MDPR,PRCP,TAVG,TMAX,TMIN,TOBS
1998-02-20,46.0,180.0,0.0,0.0,46.0,38.022,-78.48599999999999,247.5,,,,0.04,49.0,60.0,38.0,41.0
1998-02-24,5.0,450.0,0.0,0.0,5.0,38.022,-78.48599999999999,247.5,,,,0.295,42.5,48.5,36.5,44.0
1998-02-25,18.0,210.0,0.0,0.0,18.0,38.022,-78.48599999999999,247.5,,,,0.0,48.75,57.0,40.5,45.5
1998-02-26,124.0,960.0,0.0,0.0,124.0,38.022,-78.48599999999999,247.5,,,,0.0,50.75,62.5,39.0,44.5
1998-02-27,504.0,1260.0,0.0,0.0,504.0,38.022,-78.48599999999999,247.5,,,,0.0,51.5,62.5,40.5,43.5
1998-03-02,25.0,630.0,0.0,0.0,25.0,38.022,-78.48599999999999,247.5,,,,0.16,43.75,51.0,36.5,42.5
1998-03-03,10.0,756.0,0.0,0.0,10.0,38.022,-78.48599999999999,247.5,,,,0.175,40.75,50.0,31.5,37.5
1998-03-04,37.0,1080.0,0.0,0.0,37.0,38.022,-78.48599999999999,247.5,,,,0.03,39.75,48.5,31.0,36.5
1998-03-05,9.0,900.0,0.0,0.0,9.0,38.022,-78.48599999999999,247.5,,,,0.015,39.75,49.0,30.5,34.0
1998-03-06,5.0,630.0,0.0,0.0,5.0,38.022,-78.48599999999999,247.5,,,,0.0,40.5,52.0,29.0,34.5
1998-03-09,0.0,855.0,0.0,0.0,0.0,38.022,-78.48599999999999,247.5,,,,0.45999999999999996,50.0,61.0,39.0,43.5
1998-03-10,363.0,2970.0,0.0,0.0,363.0,38.022,-78.48599999999999,247.5,,,,0.02,42.25,57.5,27.0,32.0
1998-03-11,20.0,1200.0,0.0,0.0,20.0,38.022,-78.48599999999999,247.5,,,,0.0,28.5,38.5,18.5,22.5
1998-03-12,9.0,450.0,0.0,0.0,9.0,38.022,-78.48599999999999,247.5,,,,0.0,26.75,36.0,17.5,24.0
1998-03-13,5.0,780.0,0.0,0.0,5.0,38.022,-78.48599999999999,247.5,,,,0.0,31.75,42.0,21.5,26.5
1998-03-16,3.0,1440.0,0.0,0.0,3.0,38.022,-78.48599999999999,247.5,,,,0.0,38.0,45.5,30.5,35.0
1998-03-17,0.0,540.0,0.0,0.0,0.0,38.022,-78.48599999999999,247.5,,,,0.165,37.25,42.5,32.0,35.5
1998-03-18,0.0,450.0,0.0,0.0,0.0,38.022,-78.48599999999999,247.5,,,,0.765,39.0,44.5,33.5,39.5
1998-03-19,0.0,540.0,0.0,0.0,0.0,38.022,-78.48599999999999,247.5,,,,0.535,46.75,56.5,37.0,47.5
