,Tree,Mold,Grass,Ragweed,total-pol,LATITUDE,LONGITUDE,ELEVATION,AWND,DAPR,MDPR,PRCP,TAVG,TMAX,TMIN,TOBS
1998-02-20,46.0,180.0,0.0,0.0,46.0,36.56269,-79.36331,119.5,,,,0.0,50.0,60.0,40.0,43.0
1998-02-24,5.0,450.0,0.0,0.0,5.0,36.56269,-79.36331,119.5,,,,0.41,42.0,44.0,40.0,44.0
1998-02-25,18.0,210.0,0.0,0.0,18.0,36.56269,-79.36331,119.5,,,,0.0,48.5,57.0,40.0,45.0
1998-02-26,124.0,960.0,0.0,0.0,124.0,36.56269,-79.36331,119.5,,,,0.0,49.5,65.0,34.0,34.0
1998-02-27,504.0,1260.0,0.0,0.0,504.0,36.56269,-79.36331,119.5,,,,0.01,51.0,69.0,33.0,43.0
1998-03-02,25.0,630.0,0.0,0.0,25.0,36.56269,-79.36331,119.5,,,,0.0,54.0,62.0,46.0,46.0
1998-03-03,10.0,756.0,0.0,0.0,10.0,36.56269,-79.36331,119.5,,,,0.04,45.5,54.0,37.0,39.0
1998-03-04,37.0,1080.0,0.0,0.0,37.0,36.56269,-79.36331,119.5,,,,0.0,39.0,48.0,30.0,31.0
1998-03-05,9.0,900.0,0.0,0.0,9.0,36.56269,-79.36331,119.5,,,,0.0,40.5,50.0,31.0,35.0
1998-03-06,5.0,630.0,0.0,0.0,5.0,36.56269,-79.36331,119.5,,,,0.0,45.5,56.0,35.0,38.0
1998-03-09,0.0,855.0,0.0,0.0,0.0,36.56269,-79.36331,119.5,,,,1.2,57.5,66.0,49.0,60.0
1998-03-10,363.0,2970.0,0.0,0.0,363.0,36.56269,-79.36331,119.5,,,,0.0,53.0,69.0,37.0,38.0
1998-03-11,20.0,1200.0,0.0,0.0,20.0,36.56269,-79.36331,119.5,,,,0.0,34.5,43.0,26.0,26.0
1998-03-12,9.0,450.0,0.0,0.0,9.0,36.56269,-79.36331,119.5,,,,0.0,31.5,41.0,22.0,22.0
1998-03-13,5.0,780.0,0.0,0.0,5.0,36.56269,-79.36331,119.5,,,,0.0,29.0,40.0,18.0,18.0
1998-03-16,3.0,1440.0,0.0,0.0,3.0,36.56269,-79.36331,119.5,,,,0.0,43.0,56.0,30.0,38.0
1998-03-17,0.0,540.0,0.0,0.0,0.0,36.56269,-79.36331,119.5,,,,0.0,37.5,41.0,34.0,37.0
1998-03-18,0.0,450.0,0.0,0.0,0.0,36.56269,-79.36331,119.5,,,,0.34,40.0,43.0,37.0,37.0
1998-03-19,0.0,540.0,0.0,0.0,0.0,36.56269,-79.36331,119.5,,,,0.95,41.0,45.0,37.0,45.0
1998-03-20,0.0,900.0,0.0,0.0,0.0,36.56269,-79.36331,119.5,,,,0.1,58.0,71.0,45.0,46.0
1998-03-23,0.0,540.0,0.0,0.0,0.0,36.56269,-79.36331,119.5,,,,0.0,39.0,50.0,28.0,28.0
1998-03-24,0.0,1260.0,0.0,0.0,0.0,36.56269,-79.36331,119.5,,,,0.0,41.0,54.0,28.0,35.0
1998-03-25,6.0,1800.0,0.0,0.0,6.0,36.56269,-79.36331,119.5,,,,0.0,46.0,58.0,34.0,34.0
1998-03-26,45.0,2520.0,0.0,0.0,45.0,36.56269,-79.36331,119.5,,,,0.0,47.0,61.0,33.0,34.0
1998-03-27,160.0,2880.0,0.0,0.0,160.0,36.56269,-79.36331,119.5,,,,0.0,53.5,74.0,33.0,50.0
1998-03-30,450.0,3240.0,0.0,0.0,450.0,36.56269,-79.36331,119.5,,,,0.0,69.0,87.0,51.0,53.0
1998-03-31,250.0,3960.0,0.0,0.0,250.0,36.56269,-79.36331,119.5,,,,0.0,70.0,87.0,53.0,60.0
1998-04-01,720.0,4320.0,0.0,0.0,720.0,36.56269,-79.36331,119.5,,,,0.04,71.0,82.0,60.0,67.0
1998-04-02,1080.0,4940.0,0.0,0.0,1080.0,36.56269,-79.36331,119.5,,,,0.04,63.5,80.0,47.0,47.0
1998-04-03,1008.0,3600.0,0.0,0.0,1008.0,36.56269,-79.36331,119.5,,,,0.0,65.0,85.0,45.0,45.0
1998-04-06,1125.0,1620.0,0.0,0.0,1125.0,36.56269,-79.36331,119.5,,,,0.0,50.5,64.0,37.0,38.0
1998-04-07,747.0,2340.0,0.0,0.0,747.0,36.56269,-79.36331,119.5,,,,0.0,54.5,72.0,37.0,38.0
1998-04-08,1764.0,2160.0,0.0,0.0,1764.0,36.56269,-79.36331,119.5,,,,0.0,58.5,79.0,38.0,61.0
