,Tree,Mold,Grass,Ragweed,total-pol,LATITUDE_R,LONGITUDE_R,ELEVATION_R,AWND_R,DAPR_R,MDPR_R,PRCP_R,TAVG_R,TMAX_R,TMIN_R,TOBS_R,TSUN,WDF2,WESD,WESF,WV03,LATITUDE_C,LONGITUDE_C,ELEVATION_C,AWND_C,DAPR_C,MDPR_C,PRCP_C,TAVG_C,TMAX_C,TMIN_C,TOBS_C,LATITUDE_D,LONGITUDE_D,ELEVATION_D,AWND_D,DAPR_D,MDPR_D,PRCP_D,TAVG_D,TMAX_D,TMIN_D,TOBS_D,LATITUDE_H,LONGITUDE_H,ELEVATION_H,AWND_H,DAPR_H,MDPR_H,PRCP_H,TAVG_H,TMAX_H,TMIN_H,TOBS_H
1998-02-20,46.0,180.0,0.0,0.0,46.0,37.65652333333333,-77.41372666666666,59.86666666666667,4.7,,,0.105,45.5,55.33333333333334,35.666666666666664,50.0,,280.0,0.0,,,38.022,-78.48599999999998,247.5,,,,0.04,49.0,60.0,38.0,41.0,36.56269,-79.36331,119.5,,,,0.0,50.0,60.0,40.0,43.0,36.97451333333333,-76.28058,5.7666666666666675,5.145,,,0.02,47.33333333333334,51.33333333333334,43.33333333333334,
1998-02-24,5.0,450.0,0.0,0.0,5.0,37.65652333333333,-77.41372666666666,59.86666666666667,17.0,,,0.16,45.0,53.33333333333334,36.66666666666666,45.0,,320.0,0.0,,,38.022,-78.48599999999998,247.5,,,,0.295,42.5,48.5,36.5,44.0,36.56269,-79.36331,119.5,,,,0.41,42.0,44.0,40.0,44.0,36.97451333333333,-76.28058,5.7666666666666675,16.105,,,0.016666666666666666,46.5,53.66666666666666,39.333333333333336,
1998-02-25,18.0,210.0,0.0,0.0,18.0,37.65652333333333,-77.41372666666666,59.86666666666667,13.65,,,0.0,50.66666666666666,62.33333333333334,39.0,45.0,,340.0,0.0,,,38.022,-78.48599999999998,247.5,,,,0.0,48.75,57.0,40.5,45.5,36.56269,-79.36331,119.5,,,,0.0,48.5,57.0,40.0,45.0,36.97451333333333,-76.28058,5.7666666666666675,13.755,,,0.0,53.83333333333334,62.0,45.66666666666666,
1998-02-26,124.0,960.0,0.0,0.0,124.0,37.65652333333333,-77.41372666666666,59.86666666666667,3.8,,,0.0,48.0,64.0,32.0,53.0,,10.0,0.0,,,38.022,-78.48599999999998,247.5,,,,0.0,50.75,62.5,39.0,44.5,36.56269,-79.36331,119.5,,,,0.0,49.5,65.0,34.0,34.0,36.97451333333333,-76.28058,5.7666666666666675,6.15,,,0.0,50.83333333333334,60.33333333333334,41.333333333333336,
1998-02-27,504.0,1260.0,0.0,0.0,504.0,37.65652333333333,-77.41372666666666,59.86666666666667,4.25,,,0.0,49.0,64.0,34.0,55.0,,220.0,0.0,,,38.022,-78.48599999999998,247.5,,,,0.0,51.5,62.5,40.5,43.5,36.56269,-79.36331,119.5,,,,0.01,51.0,69.0,33.0,43.0,36.97451333333333,-76.28058,5.7666666666666675,4.14,,,0.0,52.16666666666666,66.66666666666667,37.66666666666666,
1998-03-02,25.0,630.0,0.0,0.0,25.0,37.65652333333333,-77.41372666666666,59.86666666666667,6.93,,,0.32,46.5,52.0,41.0,45.0,,360.0,0.0,,,38.022,-78.48599999999998,247.5,,,,0.16,43.75,51.0,36.5,42.5,36.56269,-79.36331,119.5,,,,0.0,54.0,62.0,46.0,46.0,36.97451333333333,-76.28058,5.7666666666666675,6.9350000000000005,,,0.01,46.0,48.0,44.0,
1998-03-03,10.0,756.0,0.0,0.0,10.0,37.65652333333333,-77.41372666666666,59.86666666666667,8.72,,,0.095,40.333333333333336,49.33333333333334,31.33333333333333,43.0,,340.0,0.0,,,38.022,-78.48599999999998,247.5,,,,0.175,40.75,50.0,31.5,37.5,36.56269,-79.36331,119.5,,,,0.04,45.5,54.0,37.0,39.0,36.97451333333333,-76.28058,5.7666666666666675,8.945,,,0.0,45.5,51.66666666666666,39.333333333333336,
1998-03-04,37.0,1080.0,0.0,0.0,37.0,37.65652333333333,-77.41372666666666,59.86666666666667,6.49,,,0.0,38.66666666666666,50.33333333333334,27.0,42.0,,260.0,0.0,,,38.022,-78.48599999999998,247.5,,,,0.03,39.75,48.5,31.0,36.5,36.56269,-79.36331,119.5,,,,0.0,39.0,48.0,30.0,31.0,36.97451333333333,-76.28058,5.7666666666666675,6.71,,,0.0,42.333333333333336,51.66666666666666,33.0,
1998-03-05,9.0,900.0,0.0,0.0,9.0,37.65652333333333,-77.41372666666666,59.86666666666667,4.92,,,0.0,41.66666666666666,51.66666666666666,31.66666666666667,42.0,,330.0,0.0,,,38.022,-78.48599999999998,247.5,,,,0.015,39.75,49.0,30.5,34.0,36.56269,-79.36331,119.5,,,,0.0,40.5,50.0,31.0,35.0,36.97451333333333,-76.28058,5.7666666666666675,7.16,,,0.0,41.833333333333336,48.33333333333334,35.333333333333336,
1998-03-06,5.0,630.0,0.0,0.0,5.0,37.65652333333333,-77.41372666666666,59.86666666666667,5.59,,,0.0,40.5,53.33333333333334,27.66666666666667,45.0,,150.0,0.0,,,38.022,-78.48599999999998,247.5,,,,0.0,40.5,52.0,29.0,34.5,36.56269,-79.36331,119.5,,,,0.0,45.5,56.0,35.0,38.0,36.97451333333333,-76.28058,5.7666666666666675,7.495,,,0.0,42.5,51.33333333333334,33.666666666666664,
1998-03-09,0.0,855.0,0.0,0.0,0.0,37.65652333333333,-77.41372666666666,59.86666666666667,18.12,,,1.725,62.16666666666666,74.33333333333333,50.0,60.0,,220.0,0.0,,,38.022,-78.48599999999998,247.5,,,,0.46,50.0,61.0,39.0,43.5,36.56269,-79.36331,119.5,,,,1.2,57.5,66.0,49.0,60.0,36.97451333333333,-76.28058,5.7666666666666675,17.785,,,0.96,64.16666666666667,73.33333333333333,55.0,
1998-03-10,363.0,2970.0,0.0,0.0,363.0,37.65652333333333,-77.41372666666666,59.86666666666667,15.88,,,0.04,42.5,52.66666666666666,32.333333333333336,38.0,,240.0,0.0,,,38.022,-78.48599999999998,247.5,,,,0.02,42.25,57.5,27.0,32.0,36.56269,-79.36331,119.5,,,,0.0,53.0,69.0,37.0,38.0,36.97451333333333,-76.28058,5.7666666666666675,13.195,,,0.0,43.66666666666666,54.0,33.333333333333336,
1998-03-11,20.0,1200.0,0.0,0.0,20.0,37.65652333333333,-77.41372666666666,59.86666666666667,11.63,,,0.0,31.0,38.0,24.0,30.0,,340.0,0.0,,,38.022,-78.48599999999998,247.5,,,,0.0,28.5,38.5,18.5,22.5,36.56269,-79.36331,119.5,,,,0.0,34.5,43.0,26.0,26.0,36.97451333333333,-76.28058,5.7666666666666675,13.2,,,0.0,33.0,38.333333333333336,27.66666666666667,
1998-03-12,9.0,450.0,0.0,0.0,9.0,37.65652333333333,-77.41372666666666,59.86666666666667,10.51,,,0.0,29.66666666666667,40.0,19.33333333333333,33.0,,290.0,0.0,,,38.022,-78.48599999999998,247.5,,,,0.0,26.75,36.0,17.5,24.0,36.56269,-79.36331,119.5,,,,0.0,31.5,41.0,22.0,22.0,36.97451333333333,-76.28058,5.7666666666666675,11.745,,,0.0,31.16666666666667,38.0,24.33333333333333,
