,Tree,Mold,Grass,Ragweed,total-pol,LATITUDE,LONGITUDE,ELEVATION,AWND,DAPR,MDPR,PRCP,TAVG,TMAX,TMIN,TOBS
1998-02-20,46.0,180.0,0.0,0.0,46.0,36.974513333333334,-76.28058,5.766666666666667,5.145,,,0.02,47.333333333333336,51.333333333333336,43.333333333333336,
1998-02-24,5.0,450.0,0.0,0.0,5.0,36.974513333333334,-76.28058,5.766666666666667,16.105,,,0.016666666666666666,46.5,53.666666666666664,39.333333333333336,
1998-02-25,18.0,210.0,0.0,0.0,18.0,36.974513333333334,-76.28058,5.766666666666667,13.754999999999999,,,0.0,53.833333333333336,62.0,45.666666666666664,
1998-02-26,124.0,960.0,0.0,0.0,124.0,36.974513333333334,-76.28058,5.766666666666667,6.15,,,0.0,50.833333333333336,60.333333333333336,41.333333333333336,
1998-02-27,504.0,1260.0,0.0,0.0,504.0,36.974513333333334,-76.28058,5.766666666666667,4.14,,,0.0,52.166666666666664,66.66666666666667,37.666666666666664,
1998-03-02,25.0,630.0,0.0,0.0,25.0,36.974513333333334,-76.28058,5.766666666666667,6.9350000000000005,,,0.01,46.0,48.0,44.0,
1998-03-03,10.0,756.0,0.0,0.0,10.0,36.974513333333334,-76.28058,5.766666666666667,8.945,,,0.0,45.5,51.666666666666664,39.333333333333336,
1998-03-04,37.0,1080.0,0.0,0.0,37.0,36.974513333333334,-76.28058,5.766666666666667,6.71,,,0.0,42.333333333333336,51.666666666666664,33.0,
1998-03-05,9.0,900.0,0.0,0.0,9.0,36.974513333333334,-76.28058,5.766666666666667,7.16,,,0.0,41.833333333333336,48.333333333333336,35.333333333333336,
1998-03-06,5.0,630.0,0.0,0.0,5.0,36.974513333333334,-76.28058,5.766666666666667,7.495,,,0.0,42.5,51.333333333333336,33.666666666666664,
1998-03-09,0.0,855.0,0.0,0.0,0.0,36.974513333333334,-76.28058,5.766666666666667,17.785,,,0.96,64.16666666666667,73.33333333333333,55.0,
1998-03-10,363.0,2970.0,0.0,0.0,363.0,36.974513333333334,-76.28058,5.766666666666667,13.195,,,0.0,43.666666666666664,54.0,33.333333333333336,
1998-03-11,20.0,1200.0,0.0,0.0,20.0,36.974513333333334,-76.28058,5.766666666666667,13.2,,,0.0,33.0,38.333333333333336,27.666666666666668,
1998-03-12,9.0,450.0,0.0,0.0,9.0,36.974513333333334,-76.28058,5.766666666666667,11.745000000000001,,,0.0,31.166666666666668,38.0,24.333333333333332,
1998-03-13,5.0,780.0,0.0,0.0,5.0,36.974513333333334,-76.28058,5.766666666666667,8.835,,,0.0,36.333333333333336,43.333333333333336,29.333333333333332,
1998-03-16,3.0,1440.0,0.0,0.0,3.0,36.974513333333334,-76.28058,5.766666666666667,9.620000000000001,,,0.0,40.833333333333336,43.333333333333336,38.333333333333336,
1998-03-17,0.0,540.0,0.0,0.0,0.0,36.974513333333334,-76.28058,5.766666666666667,11.075,,,0.19666666666666668,41.333333333333336,44.333333333333336,38.333333333333336,
1998-03-18,0.0,450.0,0.0,0.0,0.0,36.974513333333334,-76.28058,5.766666666666667,7.38,,,1.3999999999999997,52.5,62.0,43.0,
1998-03-19,0.0,540.0,0.0,0.0,0.0,36.974513333333334,-76.28058,5.766666666666667,7.050000000000001,,,0.33666666666666667,56.5,63.0,50.0,
1998-03-20,0.0,900.0,0.0,0.0,0.0,36.974513333333334,-76.28058,5.766666666666667,10.850000000000001,,,0.15,49.333333333333336,53.0,45.666666666666664,
1998-03-23,0.0,540.0,0.0,0.0,0.0,36.974513333333334,-76.28058,5.766666666666667,7.27,,,0.0,45.0,49.333333333333336,40.666666666666664,
1998-03-24,0.0,1260.0,0.0,0.0,0.0,36.974513333333334,-76.28058,5.766666666666667,6.82,,,0.006666666666666667,47.666666666666664,59.0,36.333333333333336,
1998-03-25,6.0,1800.0,0.0,0.0,6.0,36.974513333333334,-76.28058,5.766666666666667,10.850000000000001,,,0.0,46.0,51.0,41.0,
1998-03-26,45.0,2520.0,0.0,0.0,45.0,36.974513333333334,-76.28058,5.766666666666667,10.96,,,0.0,58.166666666666664,73.0,43.333333333333336,
1998-03-27,160.0,2880.0,0.0,0.0,160.0,36.974513333333334,-76.28058,5.766666666666667,14.54,,,0.0,70.0,80.0,60.0,
1998-03-30,450.0,3240.0,0.0,0.0,450.0,36.974513333333334,-76.28058,5.766666666666667,10.96,,,0.0,74.0,85.33333333333333,62.666666666666664,
1998-03-31,250.0,3960.0,0.0,0.0,250.0,36.974513333333334,-76.28058,5.766666666666667,14.760000000000002,,,0.0,73.0,82.33333333333333,63.666666666666664,
1998-04-01,720.0,4320.0,0.0,0.0,720.0,36.974513333333334,-76.28058,5.766666666666667,14.765,,,0.58,70.33333333333333,75.33333333333333,65.33333333333333,
1998-04-02,1080.0,4940.0,0.0,0.0,1080.0,36.974513333333334,-76.28058,5.766666666666667,10.96,,,0.0,69.16666666666667,79.66666666666667,58.666666666666664,
1998-04-03,1008.0,3600.0,0.0,0.0,1008.0,36.974513333333334,-76.28058,5.766666666666667,9.17,,,0.0,56.666666666666664,60.666666666666664,52.666666666666664,
1998-04-06,1125.0,1620.0,0.0,0.0,1125.0,36.974513333333334,-76.28058,5.766666666666667,7.16,,,0.0,51.0,61.666666666666664,40.333333333333336,
1998-04-07,747.0,2340.0,0.0,0.0,747.0,36.974513333333334,-76.28058,5.766666666666667,6.825,,,0.0,53.166666666666664,64.0,42.333333333333336,
1998-04-08,1764.0,2160.0,0.0,0.0,1764.0,36.974513333333334,-76.28058,5.766666666666667,13.31,,,0.0,70.0,82.33333333333333,57.666666666666664,
1998-04-09,3114.0,1980.0,0.0,0.0,3114.0,36.974513333333334,-76.28058,5.766666666666667,10.74,,,0.36000000000000004,64.33333333333333,75.66666666666667,53.0,
1998-04-10,610.0,2520.0,0.0,0.0,610.0,36.974513333333334,-76.28058,5.766666666666667,7.38,,,0.04,48.666666666666664,53.0,44.333333333333336,
1998-04-13,684.0,1890.0,0.0,0.0,684.0,36.974513333333334,-76.28058,5.766666666666667,5.705,,,0.0,52.333333333333336,66.0,38.666666666666664,
1998-04-14,1476.0,2520.0,0.0,0.0,1476.0,36.974513333333334,-76.28058,5.766666666666667,14.989999999999998,,,0.016666666666666666,58.5,64.0,53.0,
1998-04-15,5200.0,3240.0,0.0,0.0,5200.0,36.974513333333334,-76.28058,5.766666666666667,8.39,,,0.0,67.16666666666667,78.33333333333333,56.0,
1998-04-16,2970.0,4500.0,0.0,0.0,2970.0,36.974513333333334,-76.28058,5.766666666666667,12.865,,,0.0,71.0,81.0,61.0,
